date,description,amountUSD,srcOrganization,destOrganization
None,#description+notes,#value+funding+total+usd,#org+name+funder,#org+name+impl
2023-10-26 00:00:00,provide a variety of relief items to affected families by the devastating moroccan earthquake,150000,"kuwait, government of","Morocco, Government of"
2023-10-23 00:00:00,"au bénéfice des victimes du tremblement de terre, en faveur de |unicef",53135,"monaco, government of",United Nations Children's Fund
2023-10-23 00:00:00,"au bénéfice des victimes du tremblement de terre, en faveur de l'accompagnement des partenaires locaux de la coopération monégasque, dans les zones les plus impactées",53135,"monaco, government of",Coopération monégasque au développement
2023-10-20 00:00:00,rapid multi-sector emergency assistance in response to the morocco earthquake,425080,european commission's humanitarian aid and civil protection department,iMC Worldwide
2023-10-06 00:00:00,voluntary funding to an emergency earthquake appeal in morocco.,2109705,"ireland, government of",International Federation of Red Cross and Red Crescent Societies
2023-09-25 00:00:00,provision of food assistance to the most needy people in morocco,116573,"saudi arabia (kingdom of), government of","Morocco, Government of"
2023-09-22 00:00:00,emergency grant aid in response to earthquake in the central region of morocco,2000000,"japan, government of",International Federation of Red Cross and Red Crescent Societies
2023-09-20 00:00:00,urgent response to displaced people and those affected people by the conflict events in the republic of sudan,274348,qatar red crescent society,Moroccan Red Crescent
2023-09-12 00:00:00,"wash,health, shelter	emergency assistance in response to earthquake	financial",37037,"canada, government of",International Federation of Red Cross and Red Crescent Societies
2023-08-29 00:00:00,"iom morocco avrr 
- phase 2",23856,"switzerland, government of",International Organization for Migration
2023-08-11 00:00:00,"nfi's, wash, shelter, protection	response to earthquake	financial",3703704,"canada, government of",Canadian Red Cross Society
2023-07-12 00:00:00,"global south package - middle east	assistance to secondments in un and other partners
(fund reported prior to storm daniel)",815732,"norway, government of",Norwegian Refugee Council
2023-05-26 00:00:00,unhcr 2023 global appeal	multi-population/other	morocco	united nations high commissioner for refugees,1000000,"united states of america, government of",United Nations High Commissioner for Refugees
2023-03-28 00:00:00,unhcr 2023 global appeal	multi-population/other	morocco	united nations high commissioner for refugees,300000,"united states of america, government of",United Nations High Commissioner for Refugees
2023-01-10 00:00:00,improving protection and socio-economic integration of migrants in vulnerable situations in morocco,151500,"japan, government of",International Organization for Migration
2023-09-13,post-earthquake reconstruction,11700000000,"Morocco, Government of",None
