ADM0_NAME,ADM1_NAME,ADM2_NAME,3_MMI,4_MMI,5_MMI,6_MMI,7_MMI
Morocco,Chaouia - Ouardigha,Ben Slimane,219065.0,11561.0,0.0,0.0,0.0
Morocco,Chaouia - Ouardigha,Khouribga,303821.0,277827.0,0.0,0.0,0.0
Morocco,Chaouia - Ouardigha,Settat,181905.0,0.0,0.0,0.0,0.0
Morocco,Doukkala - Abda,El Jadida,47482.0,1296759.0,1759.0,0.0,0.0
Morocco,Doukkala - Abda,Safi,0.0,818011.0,176463.0,91.0,0.0
Morocco,Grand Casablanca,Casablanca,3814878.0,544956.0,0.0,0.0,0.0
Morocco,Grand Casablanca,Mohammedia,0.0,0.0,0.0,0.0,0.0
Morocco,Guelmim - Es-Semara,Assa-Zag,13752.0,0.0,0.0,0.0,0.0
Morocco,Guelmim - Es-Semara,Guelmim,199845.0,377.0,0.0,0.0,0.0
Morocco,Guelmim - Es-Semara,Tan-Tan,1645.0,0.0,0.0,0.0,0.0
Morocco,Guelmim - Es-Semara,Tata,45339.0,63091.0,0.0,0.0,0.0
Morocco,Marrakech - Tensift - Al Haouz,Al Haouz,0.0,188034.0,314005.0,106539.0,16150.0
Morocco,Marrakech - Tensift - Al Haouz,Chichaoua,0.0,3559.0,152499.0,191124.0,60456.0
Morocco,Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,0.0,274282.0,217514.0,0.0,0.0
Morocco,Marrakech - Tensift - Al Haouz,Essaouira,0.0,331064.0,141144.0,0.0,0.0
Morocco,Marrakech - Tensift - Al Haouz,Marrakech,0.0,1575.0,1417296.0,144278.0,0.0
Morocco,Meknès - Tafilalet,El Hajeb,34399.0,0.0,0.0,0.0,0.0
Morocco,Meknès - Tafilalet,Errachidia,36931.0,0.0,0.0,0.0,0.0
Morocco,Meknès - Tafilalet,Ifrane,23600.0,0.0,0.0,0.0,0.0
Morocco,Meknès - Tafilalet,Khénifra,0.0,0.0,0.0,0.0,0.0
Morocco,Rabat - Salé - Zemmour - Zaer,Khémisset,119430.0,0.0,0.0,0.0,0.0
Morocco,Rabat - Salé - Zemmour - Zaer,Skhirate-Témara,2517.0,0.0,0.0,0.0,0.0
Morocco,Souss - Massa - Draâ,Agadir-Ida ou Tanane,0.0,851733.0,689.0,0.0,0.0
Morocco,Souss - Massa - Draâ,Chtouka-Aït Baha,16687.0,402151.0,1020.0,0.0,0.0
Morocco,Souss - Massa - Draâ,Inezgane-Aït Melloul,0.0,468405.0,12169.0,0.0,0.0
Morocco,Souss - Massa - Draâ,Ouarzazate,478199.0,28257.0,2978.0,0.0,0.0
Morocco,Souss - Massa - Draâ,Taroudannt,1045.0,214094.0,604725.0,78487.0,0.0
Morocco,Souss - Massa - Draâ,Tiznit,211673.0,114127.0,0.0,0.0,0.0
Morocco,Souss - Massa - Draâ,Zagora,77212.0,20056.0,0.0,0.0,0.0
Morocco,Tadla - Azilal,Azilal,277278.0,283345.0,0.0,0.0,0.0
Morocco,Tadla - Azilal,Béni Mellal,0.0,714731.0,0.0,0.0,0.0
